# file=UPS 335 단독_V6.4_작화 데이터 정리(20140228).xls sheet=사용중인 전체 메모리번지 정리(최종) rows=367
41	LW1000 | ~LW1060					터치 RS485 모드버스 서버 데이터 번지	터치 모드버스 서버용 데이터(MW->LW) 저장
42	LW9010	LW	9010			초(시스템 내부용)	Real Time Clock  초표시
43	LW9011	LW	9011			분(시스템 내부용)	Real Time Clock  분 표시
44	LW9012	LW	9012			시(시스템 내부용)	Real Time Clock  시 표시
45	LW9013	LW	9013			일(시스템 내부용)	Real Time Clock 날짜 표시
46	LW9014	LW	9014			월(시스템 내부용)	Real Time Clock  월 표시
47	LW9015	LW	9015			년(시스템 내부용)	Real Time Clock  년 표시
48	LW9080	LW	9080			Back Light Saver(시스템파라메터)	0:Disable, 1~255:분 단위로 설정-->설정한 시간 내에 터치사용이 없으면 백라이트가 꺼진다.
49	LW9134	LW	9134			언어설정(시스템파라메터)	0: 영어, 1: 한국어
50	LW9150	LW	9150			키보드 입력 데이터(ASCII)	키보드 입력 데이터(ASCII)-32워드
51	RW1	RW	1			리모트-회사명	리모트 작화의 회사명 매크로에 사용
52	RW2	RW	2			리모트-축전지 부동전압	리모트 작화의 축전지 충방전 전류 최대값 자동계산 매크로에 사용-v6.4 리모트 미사용
53	RW3	RW	3			리모트-ups 용량	리모트 작화의 축전지 충방전 전류 최대값 자동계산 매크로에 사용-v6.4 리모트 미사용
54	RW10	RW	10			ver5.9 축전지 방전전류 표시 알람  하한값 제한	ver5.9 축전지 방전전류 표시 알람  하한값 제한
55	RW11	RW	11			ver5.9 축전지 방전전류 표시 알람 상한값 제한 	ver5.9 축전지 방전전류 표시 알람 상한값 제한 
56	RW12	RW	12			ver5.9 축전지 방전전류 표시 최소값 	ver5.9 축전지 방전전류 표시 최소값 
57	RW13	RW	13			ver5.9 축전지 방전전류 표시 최대값 	ver5.9 축전지 방전전류 표시 최대값 
58	RW14	RW	14			ver5.9 축전지 충전전류 표시 알람  하한값 제한	ver5.9 축전지 충전전류 표시 알람  하한값 제한
59	RW15	RW	15			ver5.9 축전지 충전전류 표시 알람 상한값 제한 	ver5.9 축전지 충전전류 표시 알람 상한값 제한 
60	RW16	RW	16			ver5.9 축전지 충전전류 표시 최소값 	ver5.9 축전지 충전전류 표시 최소값 
61	RW17	RW	17			ver5.9 축전지 충전전류 표시 최대값 	ver5.9 축전지 충전전류 표시 최대값 
63	RW20	RW	20			가스공사 정류기 전류용량 설정	가스공사 정류기 전류용량 설정
64	RW21	RW	21			FAN_DATE 레시피 저장	FAN 점검 팝업 일
65	RW22	RW	22			FAN_MONTH 레시피 저장	FAN 점검 팝업 월
66	RW23	RW	23			FAN_YEAR 레시피 저장	FAN 점검 팝업 년도
67	RW24	RW	24			BAT_DATE 레시피 저장	축전지 NFB 고장 메시지 팝업 일
68	RW25	RW	25			BAT_MONTH 레시피 저장	축전지 NFB 고장 메시지 팝업 월
69	RW26	RW	26			BAT_YEAR 레시피 저장	축전지 NFB 고장 메시지 팝업 년도
70	RW27	RW	27			OVERALL_DATE 레시피 저장	장비 전체 점검 팝업 일
71	RW28	RW	28			OVERALL_MONTH 레시피 저장	장비 전체 점검 팝업 월
72	RW29	RW	29			OVERALL_YEAR 레시피 저장	장비 전체 점검 팝업 연
73	RW30	RW	30			점검 알람 주기 레시피 저장	점검 메시지 팝업 확인 후 재 팝업 주기 설정: 0-225[H]
75	RW69-RW103	RW	69-103			3x69-3x103 값을 저장	메인보드의 3x69-3x103 번지값을 터치의 레시피 메모리에 저장
76	RW500	RW	500			시스템 운전용 비밀번호-v5.7 이전 버전	시스템 운전용 비밀번호-v5.7 이전 버젼
77	RW501	RW	501			계측 이득 설정 비밀번호-v5.7 이전 버전	계측값 설정시 필요한 비밀번호를 네자리 숫자로 설정(ENT를 누르면 비밀번호 고정됨)-v5.7 이전 버젼
79	Memory Map사용번지			MODBUS 사용번지		설명	동작
80	MW0	MW	0	3x	0	제조 년	제조 년 표시
81	MW1	MW	1	3x	1	제조 월	제조 월 표시
82	MW2	MW	2	3x	2	제조 일	제조 일 표시
83	MW3	MW	3	3x	3	출력 KVA	출력 kVA 표시
84	MW4	MW	4	3x	4	입력 상	입력 상 표시
85	MW5	MW	5	3x	5	입력 전압	입력 전압 사양 표시
86	MW6	MW	6	3x	6	출력 상	출력 상 사양 표시
87	MW7	MW	7	3x	7	출력 전압	출력 전압 사양 표시
88	MW8	MW	8	3x	8	업체명	0:초기값, 1: 아이에프텍, 2:한강기전, 3:성신전기, 4: 대농산업전기, 5: 대농엔지니어링  6:대한, 7:영신
89	MW9	MW	9	3x	9	밧데리 셀
91	MW11	MB	110	3x_Bit	1100	충전기 운전/정지 표시 텍스트	0:충전기 운전, 1: 충전기 정지 표시
92		MB	111	3x_Bit	1101	인버터 운전/정지 표시 텍스트	0: 인버터 운전표시 1: 인버터 정지 표시
93		MB	112	3x_Bit	1102	인버터/바이패스 절환 표시 텍스트	0: 인버터로 절환 표시 1:절체부로 절환 표시
94		MB	113	3x_Bit	1103	자동 운전/정지 명령 표시 텍스트	0: 자동정지 상태에서 운전명령화면으로 이동(자동운전 표시), 1: 자동운전 상태에서 정지명령 화면으로 이동(자동정지 표시)
95		MB	114	3x_Bit	1104	충전기 운전/정지 완료 표시	1: 충전기 운전/정지 수행 정상 표시
96		MB	115	3x_Bit	1105	인버터 운전/정지 완료 표시	1: 인버터 운전/정지 수행 정상 표시
97		MB	116	3x_Bit	1106	절환 정상 완료 표시	1: 절환 수행 정상 
98		MB	117	3x_Bit	1107
99		MB	118	3x_Bit	1108	충전기 운전/정지 장애 표시	1: 충전기 운전/정지가 안됨(장애표시), 장애발생시 안내에 따라 알람창으로 이동
100		MB	119	3x_Bit	1109	인버터 운전/정지 장애 표시	1: 인버터 운전/정지가 안됨(장애표시), 장애발생시 안내에 따라 알람창으로 이동
101		MB	11A	3x_Bit	1110	절환 동작시 장애 표시	1: 절환 수행 장애 발생, 장애발생시 안내에 따라 알람창으로 이동
102		MB	11B	3x_Bit	1111	자동 운전/정지 수행 구분표시	0: 자동운전 표시, 1: 자동정지 표시
103		MB	11C	3x_Bit	1112	충전기 운전/정지 수행 구분 표시	0:충전기 운전, 1: 충전기 정지 표시
104		MB	11D	3x_Bit	1113	인버터 운전/정지 수행 구분 표시	0:인버터 운전, 1: 인버터 정지
105		MB	11E	3x_Bit	1114	인버터/절체부 절환 수행 구분 표시	0: 인버터로 절환, 1: 절체부로 절환
106		MB	11F	3x_Bit	1115
107	MW12 | 알람/이벤트	MB	120	3x_Bit	1200	충전기 퓨즈 이상(1)	Converter_FUSE Fault          (충전기퓨즈 이상)
108		MB	121	3x_Bit	1201
109		MB	122	3x_Bit	1202	충전기 과열 이상(1)	Converter_OT Fault            (충전기 과열 이상)
110		MB	123	3x_Bit	1203	출력 NFB 열림(0: 알람)/ 닫힘(1: 이벤트)	0: Output_NFB Open(출력 NFB 열림),  1:  Output_NFB Close(출력 NFB 닫힘)
111		MB	124	3x_Bit	1204	입력 NFB  열림(0: 알람)/ 닫힘(1: 이벤트)	0: Input_NFB Open(입력 NFB 열림),  1: Input_NFB Close(입력 NFB 닫힘)
112		MB	125	3x_Bit	1205	축전지 NFB  열림(0: 알람)/ 닫힘(1: 이벤트)	0: Battery NFB Open(축전지 NFB 열림), 1: Battery NFB Close(축전지 NFB 닫힘)
113		MB	126	3x_Bit	1206	충전기 과전류 이상(1)	Converter_Over Current Fault  (충전기 과전류 이상)
114		MB	127	3x_Bit	1207	축전지 과전압 이상(1)	Battery_Over Voltage Fault     (축전지 과전압 이상)
115		MB	128	3x_Bit	1208	긴급 이상(1)	Emergency_Fault               (긴급 이상)
116		MB	129	3x_Bit	1209	충전기 R상 GDU이상(1)	Converter R-GDU Fault           (충전기 R상 GDU 이상)
117		MB	12A	3x_Bit	1210	충전기 S상 GDU이상(1)	Converter S-GDU Fault           (충전기 S상 GDU 이상)
118		MB	12B	3x_Bit	1211	충전기 T상 GDU이상(1)	Converter T-GDU Fault           (충전기 T상 GDU 이상)
119		MB	12C	3x_Bit	1212	옵셋체크 이상(1)	 Offset Check fault              (옵셋 체크 이상)
120		MB	12D	3x_Bit	1213	출력 NFB 열림(1: 이벤트)	Output NFB Open                     
121		MB	12E	3x_Bit	1214	입력_NFB  열림(1: 이벤트)	Input NFB  Open    
122		MB	12F	3x_Bit	1215	축전지 NFB 열림(1: 이벤트)	Battery NFB  Open    
123	MW13 | 알람/이벤트	MB	130	3x_Bit	1300
124		MB	131	3x_Bit	1301	인버터 퓨즈 이상(1)	Inverter_Fuse Fault            (인버터 퓨즈 이상)
125		MB	132	3x_Bit	1302	축전지 퓨즈 이상(1)	Battery_Fuse Fault             (축전지 퓨즈 이상)
126		MB	133	3x_Bit	1303	바이패스 NFB 열림(0:알람)/ 닫힘(1:이벤트)	0: Bypass_NFB Open(바이패스 NFB 열림-알람), 1: Bypass_NFB Close(바이패스 NFB 닫힘-이벤트)
127		MB	134	3x_Bit	1304	바이패스 NFB 열림(1:이벤트)	1: Bypass_NFB Open(바이패스 NFB 열림)
128		MB	135	3x_Bit	1305	인버터 과열 이상(1)	Inverter_OT Fault              (인버터 과열 이상)
129		MB	136	3x_Bit	1306	바이패스 과열 이상(1)	Bypass_OT Fault               (바이패스 과열 이상)
130		MB	137	3x_Bit	1307	인버터 과전류 이상(1)	Inverter Over Current Fault    (인버터 과전류 이상)
131		MB	138	3x_Bit	1308	축전지 저전압 이상(1)	Battery Under Voltage Fault   (축전지 저전압 이상)
132		MB	139	3x_Bit	1309	보조전원 이상(1)	AUX-Power Fail                       (보조전원 이상)
133		MB	13A	3x_Bit	1310	인버터 R상 GDU 이상(1)	Inverter R-GDU Fault            (인버터 R상 GDU 이상)
134		MB	13B	3x_Bit	1311	인버터 S상 GDU 이상(1)	Inverter S-GDU Fault            (인버터 S상 GDU 이상)
135		MB	13C	3x_Bit	1312	인버터 T상 GDU 이상(1)	Inverter T-GDU Fault            (인버터 T상 GDU 이상)
136		MB	13D	3x_Bit	1313	CAN-A통신 이상(1)	Parallel COM-A. ERR 
137		MB	13E	3x_Bit	1314	CAN-B통신 이상(1)	Parallel COM-B. ERR 
138		MB	13F	3x_Bit	1315
139	MW14 | 알람/이벤트	MB	140	3x_Bit	1400	축전지 NFB 이상(1)	Battery NFB Fault             (축전지 NFB 이상)
140		MB	141	3x_Bit	1401	충전기 전류 제한 이상(1)	Converter Current Limit Fault  (충전기 전류 제한 이상)
141		MB	142	3x_Bit	1402	축전지 전류 제한 이상(1)	Battery Current Limit Fault    (축전지 전류 제한 이상)
142		MB	143	3x_Bit	1403	축전지 과전압 제한 이상(1)	Battery OV Limit Fault         (축전지 과전압 제한 이상)
143		MB	144	3x_Bit	1404	축전지 저전압 제한 이상(1)	Battery UV limit Fault         (축전지 저전압 제한 이상)
144		MB	145	3x_Bit	1405	입력 상회전 이상(1)	Conv Phase Direction Fault  (입력 상회전 이상)
145		MB	146	3x_Bit	1406	입력 저전압 이상(1)	Input Under Voltage Fault      (입력 저전압 이상)
146		MB	147	3x_Bit	1407	입력 과전압 이상(1)	Input Over Voltage Fault       (입력 과전압 이상)
147		MB	148	3x_Bit	1408	보드 로직 이상(1)	Power Stack Fault             (보드 로직 이상)
148		MB	149	3x_Bit	1409	입력 주파수 이상(1)	Input Frequency Fault          (입력 주파수 이상)
149		MB	14A	3x_Bit	1410	입력 비동기 이상(1)	input Async fault                    (입력 비동기 이상)
150		MB	14B	3x_Bit	1411	정전(1)	Utility Line Failure             (정전)
151		MB	14C	3x_Bit	1412	입력 M/C 이상(1)	input M/C fault            (입력 M/C 이상)
152		MB	14D	3x_Bit	1413	결상(1)	Phase Missing Fault            (결상)
153		MB	14E	3x_Bit	1414	복전(1)-이벤트 전용	Input Power Alive (1)       (복전)
154		MB	14F	3x_Bit	1415
155	MW15 | 알람/이벤트	MB	150	3x_Bit	1500	인버터 M/C 이상(1)	inverter contactor fault
156		MB	151	3x_Bit	1501	인버터 과부하 정지	inverter-overload stop  과부하인버터 정지(1: FAULT)
157		MB	152	3x_Bit	1502	인버터 출력 전압 이상(1)	Inverter Output Voltage Fault  (인버터 출력 전압 이상)
158		MB	153	3x_Bit	1503	병렬 모드 설정(1)	PARA MODE SET   PARA MODE SET
159		MB	154	3x_Bit	1504	바이패스 주파수 이상(1)	Bypass Frequency Fault         (바이패스 주파수 이상)
160		MB	155	3x_Bit	1505	바이패스 상회전 이상(1)	Bypass Phase Direction Fault  (바이패스 상회전 이상)
161		MB	156	3x_Bit	1506	바이패스 저전압 이상(1)	Bypass Under Voltage Fault    (바이패스 저전압 이상)
162		MB	157	3x_Bit	1507	바이패스 과전압 이상(1)	Bypass Over Voltage Fault     (바이패스 과전압 이상)
163		MB	158	3x_Bit	1508	바이패스 M/C 이상(1)	Bypass contactor fault   (바이패스 M/C 이상)	20130715 수정(기존 인버터-바이패스 비동기 이상)
164		MB	159	3x_Bit	1509	출력 과부하(1)	Output Overload   (출력 과부하)
165		MB	15A	3x_Bit	1510	유지보수 NFB 이상(1)	maintanence NFB fault
166		MB	15B	3x_Bit	1511
167		MB	15C	3x_Bit	1512
168		MB	15D	3x_Bit	1513	Slave1 출력 M/C 이상(1)	Slave1 output M/C fault
169		MB	15E	3x_Bit	1514	Slave2 출력 M/C 이상(1)	Slave2 output M/C fault 
170		MB	15F	3x_Bit	1515	단독 모드 설정(1)	SINGLE MODE SET  단독모드 설정
171	MW16 | 이벤트 전용	MB	160	3x_Bit	1600	부동충전 모드 설정(1)	Floating Mode SET (부동충전 모드 설정)
172		MB	161	3x_Bit	1601	균등충전 모드 설정(1)	Equalize Mode SET (균등충전 모드 설정)
173		MB	162	3x_Bit	1602	충전기 운전(1)	R/C Started Run Event  (충전기 운전)
174		MB	163	3x_Bit	1603	충전기 자동운전(1)	R/C RE-START RUN EVENT
175		MB	164	3x_Bit	1604	충전기 정지(1)	R/C Stopped by Command Event  (충전기 정지)
176		MB	165	3x_Bit	1605	이상발생 충전기 정지(1)	R/C Stopped by Fault Event (이상발생 충전기 정지)
177		MB	166	3x_Bit	1606	인버터 운전(1)	Inverter Started Run Event (인버터 운전)
178		MB	167	3x_Bit	1607	인버터 자동운전(1)	INVETER RE-STARTED RUN EVENT
179		MB	168	3x_Bit	1608	인버터 정지(1)	Inverter Stopped by Command Event (인버터 정지)
180		MB	169	3x_Bit	1609	이상발생 인버터 정지(1)	Inverter Stopped by Fault Event (이상발생 인버터 정지)
181		MB	16A	3x_Bit	1610	인버터로 절환(1)	Transfer to Inverter Event (인버터로 절환)
182		MB	16B	3x_Bit	1611	인버터로 자동절환 (1)	RE-TRANSFER TO INVERTER EVENT
183		MB	16C	3x_Bit	1612	바이패스로 절환(1)	Transfer to Bypass by COM. Event (바이패스로 절환)
184		MB	16D	3x_Bit	1613	이상발생 바이패스로 절환(1)	Transfer to Bypass by fault Event (이상발생 바이패스로 절환)
185		MB	16E	3x_Bit	1614	자동운전 시작(1)-이벤트 전용	Auto Operation Start     (자동운전 시작)
186		MB	16F	3x_Bit	1615
187	MW17	MB	170	3x_Bit	1700	INPUT M/C	그래픽 접점 상태 표시
188		MB	171	3x_Bit	1701	OUTPUT NFB	그래픽 접점 상태 표시
189		MB	172	3x_Bit	1702	INPUT NFB	그래픽 접점 상태 표시
190		MB	173	3x_Bit	1703	BATTERY NFB	그래픽 접점 상태 표시
191		MB	174	3x_Bit	1704	INVERTER M/C	그래픽 접점 상태 표시
192		MB	175	3x_Bit	1705	BYPASS NFB	그래픽 접점 상태 표시
193		MB	176	3x_Bit	1706	MAINTENANCE NFB	그래픽 접점 상태 표시
194		MB	177	3x_Bit	1707	CONVERTER	그래픽 접점 상태 표시
195		MB	178	3x_Bit	1708	INVERTER	그래픽 접점 상태 표시
196		MB	179	3x_Bit	1709	SCR(STATIC SWITCH)	그래픽 접점 상태 표시
197		MB	17A	3x_Bit	1710
198		MB	17B	3x_Bit	1711	그래픽 모드 전환	직접화면 호출을 사용하여 화면전환: 0 일때 충전모드, 1 일때 방전모드 
199		MB	17C	3x_Bit	1712
200		MB	17D	3x_Bit	1713	입력분리 추가 NFB	그래픽 접점 상태 표시
201		MB	17E	3x_Bit	1714	그래픽 흐름 참조 비트	그래픽 구성도 참조
202		MB	17F	3x_Bit	1715
203	MW18	MB	180	3x_Bit	1800	그래픽 흐름 참조 비트	그래픽 구성도 참조
204		MB	181	3x_Bit	1801	그래픽 흐름 참조 비트	그래픽 구성도 참조
205		MB	182	3x_Bit	1802	그래픽 흐름 참조 비트	그래픽 구성도 참조
206		MB	183	3x_Bit	1803	그래픽 흐름 참조 비트	그래픽 구성도 참조
207		MB	184	3x_Bit	1804	그래픽 흐름 참조 비트	그래픽 구성도 참조
208		MB	185	3x_Bit	1805	그래픽 흐름 참조 비트	그래픽 구성도 참조
209		MB	186	3x_Bit	1806	그래픽 흐름 참조 비트	그래픽 구성도 참조
210		MB	187	3x_Bit	1807	그래픽 흐름 참조 비트	그래픽 구성도 참조
211		MB	188	3x_Bit	1808	그래픽 흐름 참조 비트	그래픽 구성도 참조
212		MB	189	3x_Bit	1809	그래픽 흐름 참조 비트	그래픽 구성도 참조
213		MB	18A	3x_Bit	1810	그래픽 흐름 참조 비트	그래픽 구성도 참조
214		MB	18B	3x_Bit	1811	그래픽 흐름 참조 비트	그래픽 구성도 참조
215		MB	18C	3x_Bit	1812	그래픽 흐름 참조 비트	그래픽 구성도 참조
216		MB	18D	3x_Bit	1813	그래픽 흐름 참조 비트	그래픽 구성도 참조
217		MB	18E	3x_Bit	1814	그래픽 흐름 참조 비트	그래픽 구성도 참조
218		MB	18F	3x_Bit	1815
219	MW19	MW	19	3x	19	R상 출력 부하율(추가됨)	그랙픽화면 R상 출력 부하율표시:  ###[%]
220	MW20	MW	20	3x	20	S상 출력 부하율(추가됨)	그랙픽화면 S상 출력 부하율표시:  ###[%]
221	MW21	MW	21	3x	21	T상 출력 부하율(추가됨)	그랙픽화면 T상 출력 부하율표시:  ###[%]
222	MW22	MW	22	3x	22	축전지 전압표시
223	MW23	MW	23	3x	23	축전지 방전 전류량 표시
224	MW24	MW	24	3x	24	축전지 충전 전류량 표시
225	MW25	MB	250	3x_Bit	2500	매크로 실행 MAIN-->HMI(69-103) 트리거 비트 사용	MAIN(MW69-103) 데이터를HMI 레시피(RW69-103)에 저장한다.(MAIN에서 명령 제어)
226		MB	251	3x_Bit	2501	매크로 실행 HMI-->MAIN(69-103) 트리거 비트 사용	매크로 실행 HMI-->MAIN(69-103) 전원 켜질때나 통신 재개시 실행(MAIN에서 명령 제어)
227		MB	252	3x_Bit	2502
228		MB	253	3x_Bit	2503
229		MB	254	3x_Bit	2504	매크로 [시간전송] 실행 트리거 비트	터치 시스템 내부 시계데이터 LW9010~9015)를 메인보드로 전송(BCD 데이터 형식)
230		MB	255	3x_Bit	2505
231		MB	256	3x_Bit	2506
232		MB	257	3x_Bit	2507	시스템점검 완료확인 창 팝업	시스템점검 완료확인 팝업 Trig bit
233		MB	258	3x_Bit	2508	밧데리 점검 메시지 팝업 트리거 비트	밧데리점검 팝업Trig bit	20130305 번지 수정됨
